"STi","T2C","STj","COUNT","YEAR"
"ALABAMA","Under 3 Months","ALABAMA","102","2011"
"ALABAMA","Under 3 Months","ALASKA","0","2011"
"ALABAMA","Under 3 Months","ARIZONA","0","2011"
"ALABAMA","Under 3 Months","ARKANSAS","0","2011"
"ALABAMA","Under 3 Months","CALIFORNIA","1","2011"
"ALABAMA","Under 3 Months","COLORADO","0","2011"
"ALABAMA","Under 3 Months","CONNECTICUT","0","2011"
"ALABAMA","Under 3 Months","DELAWARE","0","2011"
"ALABAMA","Under 3 Months","DISTRICT OF COLUMBIA","0","2011"
"ALABAMA","Under 3 Months","FLORIDA","7","2011"
"ALABAMA","Under 3 Months","GEORGIA","7","2011"
"ALABAMA","Under 3 Months","GUAM","0","2011"
"ALABAMA","Under 3 Months","HAWAII","0","2011"
"ALABAMA","Under 3 Months","IDAHO","0","2011"
"ALABAMA","Under 3 Months","ILLINOIS","0","2011"
"ALABAMA","Under 3 Months","INDIANA","0","2011"
"ALABAMA","Under 3 Months","IOWA","0","2011"
"ALABAMA","Under 3 Months","KANSAS","0","2011"
"ALABAMA","Under 3 Months","KENTUCKY","0","2011"
"ALABAMA","Under 3 Months","LOUISIANA","1","2011"
"ALABAMA","Under 3 Months","MAINE","0","2011"
"ALABAMA","Under 3 Months","MARYLAND","1","2011"
"ALABAMA","Under 3 Months","MASSACHUSETTS","0","2011"
"ALABAMA","Under 3 Months","MICHIGAN","1","2011"
"ALABAMA","Under 3 Months","MINNESOTA","0","2011"
"ALABAMA","Under 3 Months","MISSISSIPPI","1","2011"
"ALABAMA","Under 3 Months","MISSOURI","0","2011"
"ALABAMA","Under 3 Months","MONTANA","0","2011"
"ALABAMA","Under 3 Months","NEBRASKA","0","2011"
"ALABAMA","Under 3 Months","NEVADA","0","2011"
"ALABAMA","Under 3 Months","NEW HAMPSHIRE","0","2011"
"ALABAMA","Under 3 Months","NEW JERSEY","0","2011"
"ALABAMA","Under 3 Months","NEW MEXICO","0","2011"
"ALABAMA","Under 3 Months","NEW YORK","2","2011"
"ALABAMA","Under 3 Months","NORTH CAROLINA","0","2011"
"ALABAMA","Under 3 Months","NORTH DAKOTA","0","2011"
"ALABAMA","Under 3 Months","OHIO","0","2011"
"ALABAMA","Under 3 Months","OKLAHOMA","0","2011"
"ALABAMA","Under 3 Months","OREGON","0","2011"
"ALABAMA","Under 3 Months","PENNSYLVANIA","0","2011"
"ALABAMA","Under 3 Months","PUERTO RICO","0","2011"
"ALABAMA","Under 3 Months","RHODE ISLAND","0","2011"
"ALABAMA","Under 3 Months","SOUTH CAROLINA","0","2011"
"ALABAMA","Under 3 Months","SOUTH DAKOTA","0","2011"
"ALABAMA","Under 3 Months","TENNESSEE","0","2011"
"ALABAMA","Under 3 Months","TEXAS","0","2011"
"ALABAMA","Under 3 Months","U.S. VIRGIN ISLANDS","0","2011"
"ALABAMA","Under 3 Months","UTAH","0","2011"
"ALABAMA","Under 3 Months","VERMONT","0","2011"
"ALABAMA","Under 3 Months","VIRGINIA","1","2011"
"ALABAMA","Under 3 Months","WASHINGTON","0","2011"
"ALABAMA","Under 3 Months","WEST VIRGINIA","0","2011"
"ALABAMA","Under 3 Months","WISCONSIN","0","2011"
"ALABAMA","Under 3 Months","WYOMING","0","2011"
"ALABAMA","Under 3 Months","TOTAL","124","2011"
"ALABAMA","3 Months to Under 7 Months","ALABAMA","97","2011"
"ALABAMA","3 Months to Under 7 Months","ALASKA","0","2011"
"ALABAMA","3 Months to Under 7 Months","ARIZONA","2","2011"
"ALABAMA","3 Months to Under 7 Months","ARKANSAS","0","2011"
"ALABAMA","3 Months to Under 7 Months","CALIFORNIA","1","2011"
"ALABAMA","3 Months to Under 7 Months","COLORADO","0","2011"
